# Dit is de ParameterMappingTable. Kopieer deze tekst in een leeg txt bestand om een bestand te maken wat in Revit ingelezen kan worden		
# Deze tabel mapt de NLRS parameters (of Revit Built-In parameters) aan de Common Property Sets in IFC. Indien geen mapping beschikbaar is, is de regel leeg gelaten		
# Parameters die u niet wilt mappen kunt u uitschakelen door aan het begin van de regel een # te plaatsen		
# PSet <tab> IFC Property <tab> Revit parameter		
# IFC 4		
# NLRS 3.1.1		
# -----------------------------------------------------		
#PropertySet	IFC Property	Revit Parameter
Pset_ActuatorTypeCommon	Application	
Pset_ActuatorTypeCommon	FailPosition	
Pset_ActuatorTypeCommon	ManualOverride	
Pset_ActuatorTypeCommon	Reference	Description
Pset_ActuatorTypeCommon	Reference	NLRS_C_description
Pset_ActuatorTypeCommon	Status	NLRS_C_status
Pset_ActuatorTypeElectricActuator	ActuatorInputPower	
Pset_ActuatorTypeElectricActuator	ElectricActuatorType	NLRS_C_type
Pset_ActuatorTypeHydraulicActuator	InputFlowrate	
Pset_ActuatorTypeHydraulicActuator	InputPressure	
Pset_ActuatorTypeLinearActuation	Force	
Pset_ActuatorTypeLinearActuation	Stroke	
Pset_ActuatorTypePneumaticActuator	InputFlowrate	
Pset_ActuatorTypePneumaticActuator	InputPressure	
Pset_ActuatorTypeRotationalActuation	RangeAngle	
Pset_ActuatorTypeRotationalActuation	Torque	
Pset_AirTerminalBoxTypeCommon	Reference	Description
Pset_AirTerminalBoxTypeCommon	Reference	NLRS_C_description
Pset_AirTerminalBoxTypeCommon	AirflowRateRange	
Pset_AirTerminalBoxTypeCommon	AirPressureRange	
Pset_AirTerminalBoxTypeCommon	ArrangementType	NLRS_C_type
Pset_AirTerminalBoxTypeCommon	HasFan	
Pset_AirTerminalBoxTypeCommon	HasReturnAir	
Pset_AirTerminalBoxTypeCommon	HasSoundAttenuator	
Pset_AirTerminalBoxTypeCommon	HousingThickness	NLRS_C_dikte_01
Pset_AirTerminalBoxTypeCommon	NominalAirFlowRate	
Pset_AirTerminalBoxTypeCommon	NominalDamperDiameter	NLRS_C_diameter_01
Pset_AirTerminalBoxTypeCommon	NominalInletAirPressure	
Pset_AirTerminalBoxTypeCommon	OperationTemperatureRange	
Pset_AirTerminalBoxTypeCommon	ReheatType	NLRS_C_type
Pset_AirTerminalBoxTypeCommon	ReturnAirFractionRange	
Pset_AirTerminalBoxTypeCommon	Status	NLRS_C_status
Pset_AirTerminalOccurrence	AirFlowRate	
Pset_AirTerminalOccurrence	AirflowType	NLRS_C_type
Pset_AirTerminalOccurrence	Location	
Pset_AirTerminalTypeCommon	Reference	Description
Pset_AirTerminalTypeCommon	Reference	NLRS_C_description
Pset_AirTerminalTypeCommon	AirDiffusionPerformanceIndex	
Pset_AirTerminalTypeCommon	AirFlowrateRange	
Pset_AirTerminalTypeCommon	AirFlowrateVersusFlowControlElement	
Pset_AirTerminalTypeCommon	CoreSetHorizontal	
Pset_AirTerminalTypeCommon	CoreSetVertical	
Pset_AirTerminalTypeCommon	CoreType	NLRS_C_type
Pset_AirTerminalTypeCommon	DischargeDirection	
Pset_SolarDeviceTypeCommon	ActiveCellSurfaceAreaFraction	
Pset_AirTerminalTypeCommon	FaceType	NLRS_C_type
Pset_AirTerminalTypeCommon	FinishColor	NLRS_C_materiaal_kleur
Pset_AirTerminalTypeCommon	FinishType	NLRS_C_type
Pset_AirTerminalTypeCommon	FlowControlType	NLRS_C_type
Pset_AirTerminalTypeCommon	FlowPattern	
Pset_AirTerminalTypeCommon	HasIntegralControl	
Pset_AirTerminalTypeCommon	HasSoundAttenuator	
